name;email
Понедельник деловая газета;nachalotlt@ya.ru  
Военно-медицинский журнал;info@sovinformburo.ru  
Энергия студенческая газета;is@nstu.ru  mcentr.nstu@gmail.com  
Слобода газета;news@myslo.ru  
Аграрный вестник Урала журнал;agro-ural@mail.ru  
Пригород общественно-политическая газета;prigorod@list.ru  
Красное Приволжье газета;kraspriv1@yandex.ru  ;
Комсомольская правда Оренбург газета;office@orenkp.ru  555232@mail.ru  admin@56day.ru  
Чебаркулец газета;1gazeta@mail.ru  ;
Огни большого Сочи для Всех журнал;ogni-sochi@mail.ru  
Частник газета;julia.kisina@yandex.ru  ch@chastnik.ru  stol@chastnik.ru  zm@chastnik.ru  ob@chastnik.ru  
Эксперт журнал;podpiska@expert.ru  username@gmail.com  acexpert@acexpert.ru  online@expert.ru  ask@expert.ru  
Максимум рекламы газета;maxrek@maxrek.ru  
Градостроительное право журнал;avtor@lawinfo.ru  yaguzhinskii.conf@adm.kaluga.ru  sarattsev1235813@gmail.com  
Вести в электроэнергетике журнал;info@energy-journals.ru  lplunich@mail.ru  
Час Пик газета;50505@bk.ru  govp@mail.ru  
Петербургский Телезритель журнал;admin@tzt.ru  
Ваши личные финансы журнал;info@vlfin.ru  conference@vlfin.ru  example@gmail.com  toumcki@mail.ru  
Новая газета общественно-политический еженедельник;contact@engels.san.ru  contact-ng@yandex.ru  
Восход газета;voshod22@bk.ru  
Спецтехника и нефтегазовое оборудование журнал;jamal-gr@bk.ru  sales9@texoms.ru  abn.1585@mail.ru  avtodor45@mail.ru  pto.transkom@bk.ru  
Социальное страхование редакция журнала;socmirvgss@yandex.ru  
Благодатный огонь православный журнал;blagodatogon@yandex.ru  ;
Санкт-Петербургский Курьер газета;kosinova@kurier-media.ru  info@kurier-media.ru  
Юрист пенсионеру газета;eg@eg-online.ru  natalia.shapovalova@ideg.ru  jour-nal@yandex.ru  info@chudesamag.ru  olga.irzun@ideg.ru  
Налоговые и финансовые Известия Кубани журнал;info@kontipress.ru  ney@kontipress.ru  elena-d@kontipress.ru  
Главная Книга журнал;info@consultant30.ru  rez@consultant30.ru  -kp2016@mail.ru  konk@consultant30.ru  
Технологии бетонов журнал;podpiska@stroymat21.ru  info@stroymat21.ru  as@gazo-beton.org  msk@ingri.ru  expo@ard-center.ru  
Русский Север Вологодский областной журнал;rsever@yandex.ru  
Наша газета;press@ng72.ru  so@ng72.ru  tm@ng72.ru  ro@ng72.ru  dostavka@ng72.ru  
Свадьба в Чите журнал;zhozi@mail.ru  wedding25@mail.ru  svadba_chita@mail.ru  valentina3025@yandex.ru  nadezhda1366@mail.ru  
Карьялан Саномат газета;karjalansanomat@sampo.ru  karjalansanomat@gmail.ru  
Мир Карелии газета;mirkarelii@mail.ru  vladrmg@rambler.ru  
Экспресс-Курьер газета;www.pressadv@yandex.ru  
Объявления Кургана газета;info@45ok.ru  name@domain.com  
Зеленодольская правда газета;tvzed@mail.ru  zdreklama@mail.ru  zpgazetan@mail.ru  
Красота и здоровье журнал;smile-formula@mail.ru  sermn@list.ru  ;
Элита Татарстана журнал;elita_tat@mail.ru  elitatat_pr@mail.ru  elitaonline@mail.ru  ellita_tat@mail.ru  
Владивосток газета;m.reporter@vladnews.ru  
Юность журнал;unost-contact@mail.ru  unost-reklama@mail.ru  unost-kniga@mail.ru  
Тара и упаковка журнал;magpack@mail.ru  ismiren@mail.ru  iris104@yandex.ru  kpc48@mail.ru  offrosts@yandex.ru  
Искусство потребления журнал;dina@ipkrd.ru  sochilina@ipkrd.ru  nogina@ipkrd.ru  kuyda@ipkrd.ru  oksenenko@krd-sobaka.ru  
Приморский благовест газета;vladivostok@eparhia.ru  
Антенна журнал;wdayrostov@hsmedia.ru  
Арзамасские ведомости газета;arzved@mail.ru  ;
Байкальские вести газета;a_matienko@bk.ru  pronin1961@mail.ru  chessns2016@yandex.ru  
Новая книга литературная газета;novbook@gmail.com  novbook@gmail.ru  
АБАКАН газета;abakan@mail.ru  office@abakan-news.ru  svc_hotline_10604000@stu.customs.ru  
Мещерская сторона газета;julyev@province.ru  
ЭнергоРынок журнал;kolesnikova@rcb.ru  kolesnikova_elen@mail.ru  e-m@rcb.ru  corpcab@rcb.ru  svj@rcb.ru  
Коммуна газета;mail@kommuna.ru  394088@ufps.vrn.ru  afirsova@kommuna.ru  ulanova@kommuna.ru  press@foodbankrus.ru  
Robb Report Россия журнал;abuse@imweb.ru  robb.chief@imedia.ru  a.ermolova@imedia.ru  m.zakharov@imedia.ru  a.pantykin@imedia.ru  
Косметик`Pro журнал;kosmetik-pro@mail.ru  
Sezon Ремонта и Строительства журнал;sezon-kazan@bk.ru  
Крот-Карманные сканворды;partners@gazetakrot.ru  periskop@teleline.ru  adv@gazetakrot.ru  subscribe@gazetakrot.ru  zakaz@gazetakrot.ru  
Трубник газета;elena.klemesheva@chelpipe.ru  yuliya.filatova@chelpipe.ru  ir@chelpipe.ru  sergey.boitsov@chelpipe.ru  mail@pntz.ru  
Аргументы и факты-Северный Кавказ газета;stav.aif@yandex.ru  udmags@mail.ru  konkurs@aifsk.ru  red@aifsk.ru  
Известия вузов. Радиоэлектроника журнал;fedor.dubrovka@gmail.com  srj_patro@yahoo.com  prof.r.k.mishra@gmail.com  akpanda62@hotmail.com  1101197391@qq.com  ;
Лучшее в Хабаровске журнал;best@bestmagazine.ru  naumenko@bestmagazine.ru  
Металловедение и термическая обработка металлов журнал;mitom@folium.ru  
Regular and Chaotic Dynamics журнал;compmg@maik.ru  customerservice@springer.com  subscriptions@springer.com  editorial@rcd.ru  borisov@rcd.ru  
Алгоритм безопасности журнал;office@algoritm.org  moscow@algoritm.org  
Восход газета;kmbt@mail.ru  
Аргументы и факты газета;aifzdorovie@aif.ru  
Деловое обозрение журнал;v.polyakov@mosaica.ru  reklama73@mosaica.ru  delo@mosaica.ru  m.salmanova@mosaica.ru  zador@mosaica.ru  
Shoes Report журнал;es@shoes-report.ru  yk@shoes-report.ru  editor@shoes-report.ru  redaktor@shoes-report.ru  podpiska@shoes-report.ru  
Hi Home журнал;borozdina@gmail.com  krd.hihome@gmail.com  kibkalosp@gmail.com  
Биржа труда газета;mailer@omskzan.ru  
Кадровые решения журнал;info@profiz.ru
Область Культуры интернет-журнал;redaktor@okultureno.ru  afisha@okultureno.ru  director@okultureno.ru  gosti.mediaproject@gmail.com  protsessy@yandex.ru  
Роскошный дом журнал;luxury-home@yandex.ru  
Безнен мирас журнал;yanamiras@mail.ru  
Аномалия общественная редакция;webmaster@shaping.org  anomalia90@list.ru  
Fireplaces & Stoves журнал;pandapanda@inbox.ru  decor@primexpo.ru  info@flammen-gmbh.ru  info@schmid.ru  topka@astov.ru  
Старт газета;pressa@aviastar-sp.ru  d179b@aviastar-sp.ru  d013a@aviastar-sp.ru  
Обменная карта для беременных журнал;spektr703@mail.ru  
De Facto деловое издание;shvu@vselmash.ru  info@proskrepki.ru  
Телесемь журнал;svinogradova@hsmedia.ru  
Красный Путь газета;azovo.azovokprf55@yandex.ru  tabul47@yandex.ru  odess_kprf@mail.ru  petrov_kprf@mail.ru  tamara.pashina@mail.ru  
ВЕСТИ КАРЕЛИИ деловая интернет-газета;s.nikolskiy75@gmail.com  vesti.karelia.ru@gmail.com  
Бюллетень Вакансий по Самаре и Самарской области газета;editor@example.com  webmaster@example.com  lad@samaramail.ru  info@job-63.ru  mastepanovdn@samaratrud.ru  
Неприкосновенный запас журнал;info@nlo.magazine.ru  aludogovsky@gmail.com  skramasaks@inbox.ru  stivendedal@gmail.com  
Русский Запад газета;info@ruwest.ru  ;
Сибдом журнал по недвижимости;mail@sibdom.ru  
Азовская неделя газета;azned@azov.donpac.ru  
Сургутская трибуна газета;suetina@idnu.ru  merkushev@idnu.ru  ippolitova@idnu.ru  onopa@idnu.ru  nikora@idnu.ru  
Наш современник журнал;mail@nash-sovremennik.ru  
Салон Audio Video интернет-издание;salonav@salonav.com  sergey@salonav.com  tatiana@salonav.com  
Грузовик Пресс журнал;subscribe@rosb.ru  eam@rosb.ru  us@rosb.ru  gruzovik@rosb.ru  sub@rosb.ru  
Регион журнал;regionrk@mail.ru  
Молва газета;liza18lyahovskaya@gmail.com  reklamolva@yandex.ru  dronovaig@to50reg.ru  
Луна. Здоровье. Урожай журнал;raznosoli@mail.ru  
Оренбуржье газета;oren-rpn@esoo.ru  
Медик Севера газета;library@nsmu.ru  info@nsmu.ru  
Х-пресс газета;reklama@x-gazeta.ru  
Пышмаinfo газета;pishmainfo@yandex.ru  
Общество и экология газета;sergei_lisovskii@mail.ru  sobornik@mail.ru  
Письма в журнал экспериментальной и теоретической физики журнал;letters@kapitza.ras.ru  
Чайка Лобненская газета;redaktor@gazetachaika.ru  manager@gazetachaika.ru  
Сююмбикэ журнал;unusoval@mail.ru  budur2002@mail.ru  golnur68@mail.ru  larisohka09@mail.ru  gar-danis@yandex.ru  
Таймырка газета;yoc@bk.ru  
Полуостров журнал о путешествиях и туризме;whitewhale_ph@mail.ru  
Дальневосточный энергопотребитель журнал;dvenergy@mail.ru  post@dalenergy.ru  info@lers.ru  promelektro92@kabel27.ru  info@kabel27.ru  
Голос правды газета;kazankov-duma@yandex.ru  kprf12@yandex.ru  
National Geographiс Traveler журнал;natgeoru@imedia.ru  ngm@imedia.ru  traveler@imedia.ru  a.palamarchuk@imedia.ru  r.guseinov@imedia.ru  
Восточно-Сибирская правда газета;wm@vsp.ru  
Новомосковская правда газета;novpravda@mail.ru  reklama@tulasmi.ru  mamerzlyakov@senat.gov.ru  
Непоседа газета;total@yuniline.ru  
Крепость. Куча букв журнал;office@idgorod.ru  fit@idgorod.ru  zsrudieva@idgorod.ru  novikov@idgorod.ru  askosirskaya@idgorod.ru  ;
Аргументы и Факты газета;eaeforum@gmail.ru  
Чебоксарочка газета;cheboksaro4ka@gmail.com  
Под ключ-Сыктывкар каталог о строительстве ремонте и интерьере;katalogremonta11@mail.ru  market@lepseles.ru  
Читают Все газета
Вопросы местного самоуправления журнал;nakaden@mail.ru  
Баргузинская правда редакция газеты;bargud1@yandex.ru  ;
Россия в глобальной политике журнал;pr@globalaffairs.ru  info@periodicals.ru  eastview@eastview.com  editor@globalaffairs.ru  timofei@globalaffairs.ru  
Практическое налоговое планирование журнал;glred@nalogplan.ru  
Контакт-информ газета;mfpppvos@gmail.com  
РВС газета;info@gazeta-rvs.ru  
Провинциальный телеграфЪ газета;provtelegraf@gmail.com  
Ведомости газета;info@vedomosti.ru  advertorial@vedomosti.ru  podpiska@vedomosti.ru  
Иваново-пресс газета;ivpress@gmail.com  
Motorsport Network;info@motorsportnetwork.com  press@motorsportnetwork.com  ads@motorsportnetwork.com  jobs@motorsportnetwork.com  ;
Лабораторная диагностика журнал;expo@discoverymed.ru  elena@terramedica.spb.ru  ivoltchek@terramedica.spb.ru  expo@terramedica.spb.ru  chepurnaya@terramedica.spb.ru  
Справочник. Инженерный журнал;hb@idspektr.ru  sizhpost@gmail.com  kleyzerpe@gmail.com  control@ite-expo.ru  
Курьер74 журнал;kerer174@mail.ru  
Аргументы и факты в Туле газета;dobroe@aif.ru  
Коммунист Башкортостана газета;shabrina@kprf102.ru  zirakul@yandex.ru  
Геология нефти и газа журнал;8b4e078a51d04e0e9efdf470027f0ec1@sentry.wixpress.com  info@oilandgasgeology.ru  taranina@vnigni.ru  zheldakov@vnigni.ru  ;
Приазовье газета;priazov@mail.ruazovregion  priazov@mail.ru  azovregion@gmail.com  
Социальное партнерство. Практика региона журнал;mcot2004@mail.ru  
PRO город газета;progorod@list.ru  reklama@progoroduhta.ru  
Губерния газета;gubernia_dom@mail.ru  jurova25@mail.ru  lotosal@mail.ru  marina.1061@mail.ru  svetlanakazanina@yandex.ru  
Наша Газета Новороссийск газета;info@ngnovoros.ru  
Womens Health журнал;whealth@imedia.ru  e.navruzbekova@imedia.ru  n.martynov@imedia.ru  a.ryzhova@imedia.ru  m.demushkina@imedia.ru  
Нефтяное хозяйство журнал;mail@oil-industry.ru  
Маркетинг в России и за рубежом журнал;azgl@yandex.ru  aus_tgy@mail.ru  mmnozd@mgimo.ru  epopov@mail.ru  procenko@ane.ru  
Эксперт Юг журнал;ufo@expert-yug.ru  kozlov@expert-yug.ru  yanchenko@expert-yug.ru  lm@expert-yug.ru  mihaylova@expert.ru  
Гайва Плюс газета;bolotowa.ale@yandex.ru  gayva-plus@mail.ru  elena-gayva@yandex.ru  romanova-pressa@yandex.ru  irina-pressa@ya.ru  
INTERIOR COLLECTION рекла
Наружка журнал;vakhitov@ridcom.ru  info@ridcom.ru  
Практическая газета для предпринимателя;admin@pro-nalogi.ru  
Новости теплоснабжения журнал;technopark-ural@mvk.ru  voda@expoforum.by  belexpo@mail.ru  info@sibexpo.ru  ed.mkrtchyan@expoforum.ru  ;
Налоги бюллетень;szipk@nalogprof.ru  
Персей газета;gazetapersey@mail.ru  persey-service@yandex.ru  
Аргументы и Факты. Сибирь газета;pr@itrend54.ru  info@zsnso.ru  
Из первых рук газета;office@ipr-m.ru  
Потребительский компас журнал;vadimko@list.ru  isachenko@irvispress.ru  
Удмурт Дунне газета;danalin74@yandex.ru  udmdunne@udmnet.ru  udmdunne@yandex.ru  ud-red@mail.ru  minnelena@yandex.ru  
Директор информационной службы журнал;cio@osp.ru  nsmirnov@osp.ru  xpress@osp.ru  kon@osp.ru  lena@osp.ru  
Пермский обозреватель газета;permoboz@permoboz.ru  
ПушкиноЭкспресс газета;pe@list.ru  shexp@list.ru  korexp@mail.ru  port73@list.ru  
Магнитогорский Металл газета;serebr@inbox.ru  inbox@magmetall.ru  prstudio@mail.ru  serebr13@gmail.com  
Народная газета;colibri@kristel.ru  
Земское обозрение газета;pantera992@yandex.ru  zemoboz@mail.ru  
LEMAN LIFE;leman.info@mail.ru  
Афиша-Еда журнал;support@afisha.ru  
Основные Средства журнал;sub@rosb.ru  info@rosb.ru  psi@rosb.ru  gtr@rosb.ru  mll@rosb.ru  
Твоя Среда еженедельная газета;sreda_gazeta@mail.ru  s-media@rambler.ru  ;
Курьер Башкортостана газета;red@courier-ufa.ru  
Квантовая электроника журнал;ke@sci.lebedev.ru  
ДиаНовости газета;info@dianews.ru  service@dianews.ru  
Жить Хорошо журнал;reklama@jhorosho.ru  info@jhorosho.ru  julia@jhorosho.ru  bolshova@jhorosho.ru  apronina@jhorosho.ru  
Город А газета;y-and@yandex.ru  
Lingerie журнал;info@lingerie-magazin.ru  
Урология сегодня газета;abv@abvgroup.ru  info@urotoday.ru  
Народные страницы газета бесплатных объявлений;narod@rntmedia.ru  
Русское искусство журнал;grabar.nauka@gmail.com  info@fond-tretyakov.ru  russart.red@gmail.com  russart.web@gmail.com  
Черепановские вести газета;deviart.studio@gmail.com  chervesti@yandex.ru  
РАБОТАЕМ в Ижевске газета;r-izh@list.ru  r-izh@inbox.ru  r-izh@mail.ru  
Тюменская правда газета;reklamatp@yandex.ru  
ТелеДом газета;2532816@mail.ru  
Уголовный процесс журнал;ramazanov@action-media.ru  chrystina@yandex.ru  glred@ugpr.ru  ramazanov@arbitr-praktika.ru  k.nikitina@action-media.ru  
BUSINESS в Магнитогорске журнал;business-mgn@mail.ru  
Спасские вести газета;spasvest@mail.ru  spasvest_red@mail.ru  svesti_bux@mail.ru  
Современный дом и офис журнал;univer@upress.ru  
AVTOрынок газета;avtorinok@inbox.ru  
Архангельск-город воинской славы газета;agvs29@mail.ru  lomfond@yandex.ru  
Профессионал рекламно-сувенирного бизнеса журнал;maria@iapp-spb.org  lexxa@nospam.com  boncarnet@acar-group.com  corporative@confael.ru  o@orange.msk.ru  
CRN/RE журнал;crnre@crn.ru  
Цветы журнал;info@fantazy.ru  
Стерлитамакский рабочий газета;59kadr@bashkortostan.ru  news@srgazeta.ru  242162@mail.ru  
Новый сезон рекламно-информационный журнал;tuttobene-spa@yandex.ru  
Локомотив журнал;lokomotiv@lokom.ru  vagon@lokom.ru  info@lokom.ru  
Из рук в руки газета;support@irr.ru  
Вестник Малого Бизнеса газета;ksnbp@mail.ru  ksnbp77@mail.ru  ;
LinuxFormat журнал;info@linuxformat.ru  sales@linuxformat.ru  advert@linuxformat.ru  agenturapks@gmail.com  info@periodicals.ru  
Лыткаринские вести газета;mknews@yandex.ru  vesti-lv@list.ru  bykot13@yandex.ru  lytred@mnpech.ru  
МК-КАВКАЗ газета;mkkavkaz@mail.ru  info@mk.ru  
Бабье Царство газета;zvishny@mail.ru  b_radost@mail.ru  b_zarstvo@mail.ru  pensionerochka@bk.ru  artyusha1@mail.ru  
Русская Реклама газета;23-77-23@mail.ru  gazeta-gubkin@mail.ru  412-112@mail.ru  gazeta31@mail.ru  
Зори Ислама религиозно-просветительская республиканская газета;zori_islama@mail.ru  
Аргументы и Факты Юг газета;marketing@anapaokean.ru  
Вести КАМАЗа газета;vestnikkavkaza@mail.ru  brusentsov2012@yandex.ru  
Медицинская газета;mggazeta@mgzt.ru  mg-podpiska@mail.ru  info@mgzt.ru  inform@mgzt.ru  rekmedic@mgzt.ru  
Инженер журнал;zhurnal-inzhener@list.ru  
Посуда журнал;posuda3179354@yandex.ru  info@toppodarky.r
Театральный проспект газета;info@red-torch.ru  buh@red-torch.ru  kuliabin@gmail.com  notka83@inbox.ru  kolchina@red-torch.ru  
Лидер Поморья газета;info@kenozero.ru  press@ro29.fss.ru  
Бюджетный учет журнал;podpiska@b-uchet.ru  post@bujet.ru  editor@b-uchet.ru  site@b-uchet.ru  adv@b-uchet.ru  ;
МОЁ! газета;web@kpv.ru  lip@kpv.ru  moe@kpv.ru  
Вечерний Барнаул газета;info@barnaul-media.ru  
Управление сбытом журнал;dostavkaconf@image-media.ru  psgoda@gmail.com  reklama@image-media.ru  aslanov@image-media.ru  laut@supersales.ru  
Здоровье школьника журнал;info@za-partoi.ru  
Комсомольская пра;
Всё про всё в Арзамасе рекламно-информационная газета;vseprovse-arzamas@mail.ru  vse7vse@gmail.com  
Строительная газета;sale@magistrat.ru  hello@redok.ru  hey@redok.ru  info@knauf.ru  stroygazet@gmail.com  
Традиционная медицина журнал;info@tradmed.ru  
Magazine журнал;editor@magazine29.ru  calendar@magazine29.ru  reklama@magazine29.ru  adv@magazine29.ru  magazine29@yandex.ru  
Петербургский журнал электроники;info@example.com  info@elstandart.spb.ru  
Ветеринария журнал;nmo@cnshb.ru  pln@cnshb.ru  
Добрая дорога детства газета;konkurs-ddd@mail.ru  
Программа Видео-TV газета;a.tanya@omi.ru  a.bazhina@omi.ru  lbaik@omi.ru  group6@omi.ru  e.dor@omi.ru  
Лесгафтовец газета;rectorlesgaft@mail.ru  info@minsport.gov.ru  l.egorenko@lesgaft.spb.ru  r.apoiko@lesgaft.spb.ru  s.petrov@lesgaft.spb.ru  
Друг для друга газета;dddkursk@mail.ru  ddd@dddkursk.ru  novikov@ddd.kursknet.ru  dima1972@list.ru  maryw@bk.ru  
Сэхнэ журнал;saxna@mail.ru  
#RLGN Magazine журнал;rlgnmagazine@gmail.com  
Коммерсантъ газета;podpiska@kommersant.ru  academy@kommersant.ru  
Четверг газета;ria-nds@bk.ru  
Outdoor Media журнал;info@outdoor.ru  podpiska@outdoor.ru  zakaz@outdoor.ru  event@outdoor.ru  reklama@outdoor.ru  
МедиаПрофи журнал;press@tefi.ru  samoletik@inbox.ru  a.podli
Комсомольская правда-Калининград газета;gazeta@kp-kaliningrad.ru  kp@kp.ru  
Кардиология журнал;subscription@bionika-media.ru  kruglova@bionika.ru  kruglova-cardio@mail.ru  ivanov@cardio-tomsk.ru  kruglova@bionika-media.ru  
Ветеран Башкортостана газета;veteranrb@mail.ru  geroy.veteranrb@mail.ru  
Общественная электронная газета;mm_juliett-83@mail.ru  electrogazeta2011@gmail.com  
Аргументы недели. Енисей газета;cstpp@mail.ru  yarpatent@mail.ru  dumansk@mail.ru  gail.4.89@mail.ru  krisergeeva@mail.ru  
ДОРОГИ. Инновации в строительстве журнал;fortrent@prp.ru  info@an-expo.ru  i.tochieva@sochi-expo.ru  office@proconf.ru  markina@pss.spb.ru  
Самарский персонал от А до Я газета;podbor@otdelpersonala.com  personal@samara-lada.ru  serg-ag@yandex.ru  oksana@drovosek63.ru  hr-job@limmen.ru  
Молодой Дальневосточник XXI век газета;admin@website.ru  office@adm.khv.ru  zdrav@adm.khv.ru  
Сапожковские вести газета;sapvesti@mail.ru  
Ставропольский репортер газета;gazeta@stav-reporter.ru  
Искусство кино журнал;ce.int@britishcouncil.ru  info@newcinemaschool.com  spb@newcinemaschool.com  
ПроспектСК газета;dake1231@gmail.com  ;
ТРАНСПОРТ РОССИИ газета;goldasn@mail.ru  
Аргументы и Факты газета;deti39@mail.ru  
Жизнь с комфортом журнал;20andimotors@mail.ru  andimotors@mail.ru  off-road@vmail.ru  m-teh92@eandex.ru  auto@comch.ru  
Мир Фантастики журнал;ptash@mirf.ru  katikris@mirf.ru  
4x4 club журнал;pressa@club4x4.ru  pr@club4x4.ru  adv@club4x4.ru  vlad@club4x4.ru  khapov@club4x4.ru  
Роман-Газета журнал;roman-gazeta-1927@yandex.ru  
Вперед газета;mail@vperedsp.ru  evg.kintyschewa@ya.ru  
Rational Enterprise Management журнал;info@rmmag.ru  
Нижегородская Губерния рекламно-информационная газета;n.nov-guberniya@bk.ru  
Городские но
Сельская Жизнь газета;sg@sgazeta.ru  sg2012k@mail.ru  
Аргументы и факты газета;aif_karelia@mail.ru  
Вести Морского Петербурга журнал;info@morspb.ru  
City Magazine журнал;hr@citymagazine.ru  subscription@citymagazine.ru  info@citymagazine.ru  director@citymagazine.ru  distribution@citymagazine.ru  
Все для Вас Волоколамка еженедельная газета;qiwi@vdv-volokolamka.ru  9919923@gmail.com  vdv-job@mail.ru  irina@vdv-volokolamka.ru  znatok@vdv-volokolamka.ru  
ТВ неделя газета;tvn@sibinform.ru  
Вечерний Екатеринбург газета;ve@urn.ru  
Музыкальная академия журнал;kompozitor@ikompozitor.ru  
Российский педиатрический журнал;info@idm.msk.ru  
Клад альманах;885533@mail.ru  7480039@gmail.com  ipkachura@mail.ru  goldmi27@yandex.ru  
Экономика железных дорог журнал;glavbukh@1pgb.ru  sus@action-media.ru  
Человек журнал;humanus-1@naukran.ru  admin@chelovek21.ru  humanus-1@naukaran.ru  
Коннект журнал;editor@connect.ru  
Гангут журнал;gangutprint@yandex.ru  gangutsale@yandex.ru  cardkit@bk.ru  makvik@yahoo.com  
Истра Плюс газета;info@istra-plus.ru  
ПЯТНИЦА Орёл журнал;info@pyatnitco.ru  ema@list.ru  120150@list.ru  iloveorangefish@gmail.com  smmorel57@gmail.com  ;
Чемальский вестник газета;cvestnik@bk.ru  
Релейщик журнал;rief@expoforum.ru  
ВАКАНСИЯ от А до Я газета;ilya@yakunin.net  
Петербургский рубеж газета;upravdelami@bk.ru  
Лучшее в Гатчине справочно-информационный журнал;info@lgpress.ru  
Совет да любовь-Владимир журнал;sdl-vladimir@yandex.ru  nebo33@inbox.ru  mileto33@yandex.ru  krasnosel001@gmail.com  
Ростов официальный газета;paso@aaanet.ru  
Меридиан газета;meridian45ru@yandex.ru  post@province.ru  aleksandrraleksandrr@rambler.ru  
Девчонки-мальчишки. Школа ремесел журнал;info@for-m.ru  cultural@bibliosib.ru  rusrifmy@rospatriotcentr.ru  
Human журнал;reclame@humanmag.ru  
Окружная правда газета;olga2@pressa.irk.ru  baikalinfo@pressa.irk.ru  
Библиотека инженера по охране труда журнал;otissfadeev@yandex.ru  ohranatruda@umail.ru  ohrtruda@bk.ru  o.podpiski@yandex.ru  
Юрта рекламно-информационная газета;urta@bk.ru  
Радник журнал;catalog@cpb.org.ua  catalog.czo@gmail.com  ;
Трудовая Россия газета;support@rkrp-rpk.ru  editor@rkrp-rpk.ru  
Презент газета;natash.sergeeva.78@bk.ru  hinamori.amu.1996@mail.ru  03ivan04@gmail.com  serul@mail.com  bo1108@mail.ru  
Егорьевский Курьер газета;k46621@yandex.ru  
Магариф журнал;magarif@bk.ru  tatmedia@bk.ru  rifattat@mail.ru  rauhania_68@mail.ru  sabir.tagir@bk.ru  
Энергосбережение журнал;support@abok.ru  abok@abok.ru  
Ярмарка вакансий газета;kgomis@mail.ru  yarmarka-vak@omis.spb.ru  spb3809294@yandex.ru  
МИР БЕЗОПАСНОСТИ журнал;podpiska@id-mb.ru  
Животноводство России журнал;animal@zzr.ru  
Наша молодежь журнал;nasha-mol@mail.ru  fbl_rbi@russianleaders.org  moyastranaru@mail.ru  
За Победу! газета;strogo@gmail.com  
Иные берега журнал;berega@stdrf.ru  
Новое Калужское газета;7754340@mail.ru  nk2002@ttk.ru  nk2002@trtk.ru  
Свадебный сезон журнал;weddingseason@mail.ru  tver-r@mail.ru  
Медицина катастроф журнал;support@step-m.ru  pesmo@rambler.ru  
Республика газета;secr@gazeta-respublika.ru  ad@gazeta-respublika.ru  2485021@mail.ru  
Таганрогская Правда газета;a-bochkov@yandex.ru  
Квадрат журнал;maria@vkvadrate.net  burlinov.n@mail.ru  
То что надо газета;prospect28@mail.ru  
Новые округа газета;newokruga@vm.ru  tinao@mos.ru  
Вестник экономического правосудия РФ журнал;post@zakon.ru  
Проекты коттеджей журнал;info@plans1.ru  starosotnikova@plans1.ru  admin@plans1.ru  
С легкой руки газета;slrgel2006@rambler.ru  
Высокогорские вести газета;podpiska@tatmedia.ru  tatmedia@tatmedia.ru  
Юный техник журнал;yut.magazine@gmail.com  
Тарбагатайская Нива газета;tarbniva@yandex.ru  
ИнфоМАРКЕТ плюс газета;infomarket74@mail.ru  
Эковестник журнал;vazarkhanov.is@ekovestnik.ru  voskanyan.e@ekovestnik.ru  podpiska@ekovestnik.ru  ;
Реноме. Тверской регион журнал;eliton1@yandex.ru  
К единству! журнал;president@ifuocn.com  pr@ifuocn.com  journal@ifuocn.com  
Вопросы экономики журнал;aeoeia@mail.ru  mail@vopreco.ru  email@domen.ru  
Ваша реклама газета;izd@vrnet.ru  
Российский адвокат журнал;gra1@mail.ru  
Самарские судьбы журнал;sad41@rambler.ru  step.ad70@mail.ru  anatily.ostroukhov@gmail.ru  .milachaika@mail.ru  info@samsud.ru  
Аргументы и Факты на Оби газета;nrabchikova@admnsk.ru  info@zsnso.ru  
Современная кардиология газета;abv@abvpress.ru  
Смоленские губернские ведомости газета;info@smgv.ru  
Вестник образования России журнал;donate@opencart.com  
Дальневосточный оценщик журнал;idkredo@yandex.ru  
Столичная ярмарка газета;web@stol-yar.ru  
Карьера в Архангельске газета;651350@mail.ru  
Биотехнология журнал;genetika@genetika.ru  
Металлоснабжение и сбыт журнал;vika@metalinfo.ru  podpiska@metalinfo.ru  reklama@metalinfo.ru  natasha@metalinfo.ru  design@metalinfo.ru  
Заводская лаборатория. Диагностика материалов журнал;zavlabor@imet.ac.ru  karpov@giredmet.ru  karpov-yury@yandex.ru  shpigun@analyt.chem.msu.ru  imash-ru@mail.ru  
Вестник МЭИ журнал;vestnik_article@mpei.ru  
Бесплатные объявления газета;redaktion.bo@gmail.com  
Курьер медиагруппа;abakan_curier@bk.ru  curier-region@mail.ru  region@gazeta-curier.ru  buh@gazeta-curier.ru  red@gazeta-curier.ru  
Волна газета;orient@tourburo.ru  volnanet@mail.ru  ;
Перезвон газета;radik22069@rambler.ru  galina-uv@mail.ru  
УМКА журнал для родителей;umka_vlg@mail.ru  
МК в Астрахани газета;astmk@yandex.ru  rufina3110@mail.ru  
SVADBAMAG журнал;svadbamag@mail.ru  manager-1@svadbamag.ru  manager-2@svadbamag.ru  redactor@svadbamag.ru  gabrielhotel@perm.raid.ru  
Pro Край журнал;info@mediapro26.ru  
Экспресс газета;premier.a@bk.ru  
Общественное здоровье и здравоохранение журнал;editorial@ozizdrav.ru  
Лехаим журнал;lechaim@lechaim.ru  
Наш город Тамбов газета;ngt_07@mail.ru  
